20 graphs in wdGraphs.txt.

** G1: |V|=5, V={0,1,...4}
(u, v, weight) E = { 
      (62, 65,  1.778)
      (63, 25, 71.612)
      (63, 57, 61.718)
      (63, 145, 80.440)
      (64, 99, 57.321)
      (64, 122, 20.551)
      (65, 36, 56.097)
      (65, 66, 90.211)
      (65, 79, 73.291)
      (65, 137, 77.917)
      (66, 15, 74.374)
      (66, 36, 85.346)
      (66, 39, 23.995)
      (66, 55, 99.690)
      (66, 57, 24.227)
      (66, 67, 50.826)
      (66, 129, 28.380)
      (67, 38, 33.643)
      (67, 75, 21.622)
      (67, 80, 82.597)
      (68, 39,  0.152)
      (68, 66, 96.740)
      (68, 138, 76.069)
      (68, 140, 69.224)
      (69,  8, 80.013)
      (69, 32, 14.777)
      (69, 63, 14.233)
      (70, 34, 34.586)
      (70, 80, 81.608)
      (71, 77, 83.379)
      (71, 150, 32.866)
      (72, 45, 23.099)
      (72, 125, 78.291)
      (72, 141, 43.676)
      (72, 144, 48.126)
      (72, 146, 45.646)
      (73, 17, 39.349)
      (73, 36, 90.653)
      (73, 38, 29.371)
      (74, 24, 50.612)
      (74, 50, 53.025)
      (74, 54, 52.622)
      (74, 79, 10.280)
      (75, 46, 71.734)
      (75, 66, 44.045)
      (75, 93, 94.424)
      (75, 141, 93.334)
      (76, 95, 73.106)
      (77, 14, 76.699)
      (77, 94, 16.322)
      (77, 133, 93.899)
      (78, 15, 41.809)
      (78, 136, 26.666)
      (79, 46, 83.845)
      (79, 53, 11.689)
      (79, 63, 57.669)
      (79, 86,  1.797)
      (79, 116,  4.446)
      (80, 10, 10.676)
      (80, 85,  8.296)
      (81, 22, 24.021)
      (81, 68, 62.473)
      (81, 73,  6.621)
      (81, 122, 68.065)
      (82, 25, 65.835)
      (82, 83, 30.735)
      (82, 91,  2.579)
      (82, 118, 31.056)
      (82, 122,  1.409)
      (83, 35, 74.659)
      (83, 90, 17.739)
      (83, 119, 71.419)
      (84, 13, 55.252)
      (84, 85, 77.136)
      (84, 91,  4.971)
      (84, 112, 54.244)
      (84, 123, 61.744)
      (84, 133, 21.881)
      (84, 142, 79.410)
      (84, 152, 63.909)
      (85,  0, 85.064)
      (86,  3, 59.809)
      (86, 11, 57.116)
      (86, 78, 24.612)
      (86, 154,  9.245)
      (87,  0, 86.916)
      (87, 31, 43.093)
      (87, 96, 89.333)
      (87, 100, 50.860)
      (87, 108, 36.030)
      (87, 111, 47.552)
      (88,  0, 66.346)
      (88, 39, 11.951)
      (89, 135, 74.732)
      (90, 59, 68.144)
      (90, 87,  2.478)
      (90, 99, 34.841)
      (91, 14, 68.390)
      (91, 26, 63.442)
      (91, 29, 88.249)
      (91, 34, 97.168)
      (91, 39, 37.703)
      (91, 92, 57.621)
      (92, 114, 58.499)
      (92, 118, 89.898)
      (92, 141, 34.887)
      (93, 40, 31.037)
      (93, 148, 79.855)
      (94, 16, 76.647)
      (94, 109, 18.136)
      (94, 151, 69.641)
      (95, 35, 19.103)
      (95, 39, 88.118)
      (95, 45, 10.039)
      (96, 98, 41.328)
      (96, 106, 79.658)
      (96, 107, 33.799)
      (96, 133, 83.587)
      (97,  6, 61.947)
      (97, 61,  8.464)
      (97, 88, 82.759)
      (97, 89, 24.825)
      (97, 121, 50.873)
      (98, 20, 42.604)
      (98, 27, 53.242)
      (98, 41, 15.751)
      (98, 52, 96.394)
      (98, 82, 38.657)
      (98, 95, 64.255)
      (98, 126,  1.492)
      (99, 29, 47.811)
      (99, 64, 45.492)
      (99, 65, 71.673)
      (99, 133, 21.090)
      (99, 138, 16.667)
      (100, 46, 78.237)
      (100, 55, 75.865)
      (100, 59, 21.686)
      (100, 67, 80.095)
      (100, 88, 52.966)
      (100, 111, 52.552)
      (100, 133,  3.095)
      (101, 53, 81.477)
      (101, 137, 79.870)
      (102, 51, 91.858)
      (102, 57, 57.391)
      (102, 108, 47.738)
      (102, 117, 26.253)
      (102, 120, 14.743)
      (102, 137, 36.991)
      (103, 52, 38.382)
      (103, 92, 48.352)
      (103, 112, 56.594)
      (103, 134, 89.004)
      (104,  9, 88.811)
      (104, 75, 78.785)
      (104, 122, 33.231)
      (104, 137, 91.278)
      (105,  2, 96.187)
      (105, 16, 30.284)
      (105, 29, 37.532)
      (105, 34, 32.107)
      (105, 41, 32.156)
      (105, 44, 25.090)
      (105, 98,  0.335)
      (106, 18, 77.967)
      (106, 40,  3.106)
      (106, 65, 34.959)
      (106, 69, 98.051)
      (106, 112, 65.165)
      (106, 123,  1.719)
      (107,  0, 99.882)
      (107, 28, 19.937)
      (107, 38, 69.992)
      (107, 45, 11.514)
      (107, 93, 78.715)
      (107, 103, 69.199)
      (107, 153, 16.026)
      (108, 100, 71.113)
      (108, 119,  9.022)
      (109, 18, 99.750)
      (109, 36, 66.971)
      (109, 37, 65.908)
      (109, 38, 13.234)
      (109, 121, 58.989)
      (109, 133, 56.889)
      (110, 28, 97.564)
      (110, 35, 64.076)
      (110, 36, 20.984)
      (110, 95, 26.278)
      (110, 151, 90.391)
      (111, 86, 43.486)
      (111, 129, 60.130)
      (112, 12, 91.635)
      (112, 29,  3.226)
      (112, 93, 64.128)
      (112, 123, 18.125)
      (113, 21, 11.546)
      (113, 45, 57.824)
      (113, 68, 31.895)
      (113, 70, 36.423)
      (113, 81, 58.669)
      (113, 141, 39.052)
      (114, 25, 74.277)
      (114, 29, 76.168)
      (114, 31, 37.304)
      (114, 115, 89.132)
      (114, 145, 47.113)
      (116,  7, 81.600)
      (116, 11, 84.008)
      (116, 13, 72.119)
      (116, 40, 23.754)
      (116, 118, 93.014)
      (117, 78, 79.669)
      (117, 93, 36.358)
      (117, 95, 10.315)
      (117, 138, 31.620)
      (118, 30,  8.896)
      (118, 41, 65.073)
      (118, 90, 27.106)
      (119, 38, 24.698)
      (119, 53, 45.443)
      (121, 38, 36.388)
      (121, 131, 56.813)
      (121, 139, 78.343)
      (121, 151, 69.645)
      (122,  2, 31.792)
      (122, 14, 24.213)
      (122, 68, 12.125)
      (122, 80, 28.355)
      (122, 96, 35.360)
      (122, 111, 35.058)
      (122, 113, 96.885)
      (122, 150, 45.675)
      (123, 143, 76.199)
      (124, 43, 49.626)
      (124, 123, 72.222)
      (125, 31, 68.116)
      (125, 71, 74.082)
      (125, 129, 90.321)
      (125, 146, 43.765)
      (125, 153, 12.161)
      (126, 140, 69.237)
      (127, 70, 64.206)
      (127, 80,  0.433)
      (127, 82, 99.610)
      (127, 84, 17.672)
      (127, 123, 78.807)
      (127, 137, 87.821)
      (127, 151, 77.170)
      (127, 153,  7.042)
      (128,  0, 52.279)
      (128, 30, 14.549)
      (128, 84, 21.748)
      (128, 123, 10.823)
      (128, 148,  2.200)
      (129,  8, 61.253)
      (129, 59, 87.632)
      (129, 96, 65.057)
      (129, 132, 58.867)
      (130,  4, 19.809)
      (130, 33, 66.099)
      (130, 81,  8.573)
      (130, 93, 91.843)
      (131, 43, 96.581)
      (131, 65, 44.935)
      (131, 86, 73.329)
      (131, 149, 76.712)
      (132, 57, 98.347)
      (133, 20, 58.886)
      (133, 51, 67.337)
      (133, 64, 11.225)
      (133, 118, 90.685)
      (133, 130, 94.066)
      (134, 38, 66.504)
      (134, 120, 45.762)
      (134, 132, 19.274)
      (135, 14, 75.874)
      (135, 18, 79.146)
      (135, 102, 95.790)
      (135, 126, 34.257)
      (136, 55, 60.781)
      (136, 73, 18.562)
      (136, 93, 61.299)
      (137, 12, 83.798)
      (138, 61, 34.327)
      (138, 103, 89.001)
      (138, 113, 41.012)
      (139,  2, 15.379)
      (139, 21, 24.953)
      (139, 67, 84.396)
      (139, 101, 12.504)
      (139, 114,  1.943)
      (139, 138, 77.897)
      (140, 124, 71.256)
      (141, 53, 40.237)
      (141, 76, 47.689)
      (141, 79, 55.837)
      (141, 86, 64.571)
      (141, 106, 51.970)
      (141, 152, 29.966)
      (142, 41, 62.916)
      (143, 24, 14.512)
      (143, 36, 99.270)
      (143, 69, 21.218)
      (143, 131, 68.787)
      (143, 154, 86.215)
      (144, 32, 91.513)
      (144, 55, 75.693)
      (144, 79, 61.005)
      (144, 88, 56.670)
      (145, 10, 30.999)
      (145, 14, 90.017)
      (145, 38, 93.250)
      (145, 75, 91.611)
      (145, 125, 77.942)
      (145, 140, 54.482)
      (145, 142, 80.771)
      (146, 17,  3.585)
      (146, 24, 57.699)
      (146, 46, 35.195)
      (146, 65, 97.817)
      (147, 19,  2.245)
      (147, 75, 10.786)
      (147, 76, 82.847)
      (148,  7, 23.849)
      (148,  8, 84.519)
      (148, 110, 68.862)
      (148, 149, 35.751)
      (149, 86, 86.927)
      (149, 110,  8.674)
      (149, 125, 15.917)
      (149, 154, 85.715)
      (150, 25, 86.303)
      (150, 37, 41.787)
      (150, 64, 21.102)
      (150, 76, 36.402)
      (150, 95, 38.993)
      (151, 21, 26.786)
      (151, 61, 57.263)
      (151, 97, 97.550)
      (151, 102, 52.637)
      (151, 125, 56.191)
      (151, 140, 18.293)
      (152, 27,  1.726)
      (152, 67, 74.045)
      (152, 101,  2.087)
      (153, 113, 12.492)
      (154, 36, 44.199)
      (154, 88, 53.986)
      (154, 101, 34.293)
      (154, 114, 14.378)
      (154, 128, 77.717)
      (154, 143, 95.896) }
------------------------- 

** G8: |V|=155, V={0,1,...154}
(u, v, weight) E = { 
      ( 0, 50,  2.222)
      ( 0, 62, 81.132)
      ( 0, 138, 55.669)
      ( 1, 85, 76.309)
      ( 1, 89, 71.715)
      ( 1, 129, 62.013)
      ( 1, 140, 25.069)
      ( 1, 153, 55.216)
      ( 2, 57, 67.440)
      ( 2, 136, 70.605)
      ( 3,  1, 22.519)
      ( 3, 36,  7.790)
      ( 3, 53, 43.657)
      ( 3, 112, 75.210)
      ( 3, 119,  3.084)
      ( 3, 152, 30.056)
      ( 4, 10, 54.851)
      ( 4, 23, 94.926)
      ( 4, 40, 98.585)
      ( 4, 128, 14.019)
      ( 5,  4, 86.591)
      ( 5, 56, 54.874)
      ( 5, 68, 34.911)
      ( 5, 91,  1.920)
      ( 6, 41,  3.489)
      ( 6, 51, 54.356)
      ( 6, 66, 64.431)
      ( 6, 100, 78.982)
      ( 6, 104, 27.452)
      ( 7, 30, 82.105)
      ( 7, 48, 31.848)
      ( 7, 94, 26.186)
      ( 7, 144, 11.733)
      ( 8, 64, 55.962)
      ( 8, 75,  3.151)
      ( 8, 150, 60.136)
      ( 9,  5, 14.220)
      ( 9, 46, 19.685)
      ( 9, 154, 33.027)
      (10,  9, 76.204)
      (10, 31, 10.481)
      (10, 54, 49.473)
      (10, 135, 65.365)
      (10, 138, 22.705)
      (11, 17, 97.293)
      (11, 129, 72.551)
      (11, 140, 55.291)
      (12, 66, 92.692)
      (12, 67, 89.446)
      (12, 106, 96.409)
      (12, 117, 88.553)
      (12, 145, 39.827)
      (13,  0, 40.050)
      (13, 22, 50.236)
      (13, 77, 34.356)
      (13, 140, 44.490)
      (14,  8, 14.526)
      (14, 104, 15.548)
      (15,  8, 48.815)
      (15, 34,  7.024)
      (15, 88, 84.434)
      (16, 18, 69.165)
      (16, 34, 77.271)
      (16, 58, 32.557)
      (16, 112, 87.717)
      (16, 123, 49.887)
      (17, 34, 13.593)
      (17, 44, 87.578)
      (17, 47, 71.851)
      (17, 89,  8.333)
      (17, 145, 33.633)
      (17, 146, 17.741)
      (18, 54, 30.025)
      (18, 134, 97.025)
      (18, 137, 70.180)
      (18, 143, 29.705)
      (19,  9, 64.040)
      (19, 18,  1.469)
      (19, 42, 87.601)
      (19, 57, 53.415)
      (19, 84, 16.431)
      (19, 120, 45.161)
      (20, 56, 59.217)
      (20, 63,  8.050)
      (20, 101, 56.036)
      (20, 130, 81.827)
      (21, 14, 76.980)
      (21, 116, 71.262)
      (21, 123, 79.299)
      (21, 141, 86.820)
      (22, 59, 62.746)
      (22, 113,  6.042)
      (22, 118,  9.389)
      (23, 14, 23.200)
      (23, 51,  3.400)
      (23, 56, 17.294)
      (23, 77, 34.133)
      (24, 26, 84.463)
      (25,  5, 93.046)
      (25, 22, 33.430)
      (25, 129, 10.123)
      (26,  9, 50.568)
      (26, 76, 60.261)
      (26, 77, 82.622)
      (27, 38,  7.436)
      (27, 42, 56.673)
      (27, 109,  2.065)
      (27, 118, 44.125)
      (27, 126, 82.962)
      (28, 107, 26.071)
      (28, 127, 47.673)
      (29,  3,  7.972)
      (29, 10, 49.350)
      (29, 30, 98.229)
      (29, 34, 31.701)
      (29, 123, 19.855)
      (29, 140, 68.834)
      (30, 73, 73.100)
      (30, 89, 16.828)
      (30, 98, 93.617)
      (31, 20, 15.025)
      (31, 24, 53.259)
      (31, 53, 60.155)
      (31, 121, 45.039)
      (31, 138, 29.758)
      (32, 15, 40.616)
      (32, 21,  0.278)
      (32, 105, 45.503)
      (32, 149, 99.311)
      (33,  2,  9.857)
      (33, 30, 76.414)
      (33, 117, 29.549)
      (34, 39, 32.695)
      (34, 52,  1.549)
      (34, 68, 49.179)
      (34, 75, 92.094)
      (34, 82, 31.805)
      (34, 99, 89.160)
      (34, 131, 36.048)
      (35, 13, 83.817)
      (35, 65, 80.766)
      (35, 86, 72.367)
      (35, 119, 27.755)
      (36, 42, 50.719)
      (36, 85, 56.927)
      (36, 115, 30.704)
      (36, 136, 89.710)
      (37, 110, 51.264)
      (37, 111,  8.249)
      (37, 151, 25.451)
      (38, 47, 81.380)
      (38, 64, 95.537)
      (38, 146, 10.709)
      (39, 53, 57.843)
      (39, 68, 37.100)
      (39, 88, 96.275)
      (39, 100, 38.603)
      (39, 111,  1.111)
      (39, 143, 54.743)
      (40, 10,  5.223)
      (40, 18,  2.385)
      (40, 19, 83.870)
      (40, 105, 54.421)
      (41, 23, 45.787)
      (41, 114, 28.542)
      (41, 118, 72.107)
      (41, 129, 12.620)
      (42, 72, 56.687)
      (43, 145, 66.561)
      (44,  6, 27.179)
      (44, 122, 74.101)
      (44, 126, 86.894)
      (45, 113, 96.590)
      (45, 128, 42.189)
      (47,  4, 31.124)
      (47, 21, 87.662)
      (47, 25, 99.650)
      (47, 41, 28.741)
      (47, 58, 97.819)
      (47, 74, 98.922)
      (47, 110,  8.445)
      (47, 150,  8.382)
      (48, 15, 95.662)
      (48, 22, 10.084)
      (48, 34, 67.329)
      (48, 107, 53.276)
      (48, 114, 19.296)
      (49,  0, 89.513)
      (49, 78, 60.782)
      (49, 96, 29.153)
      (50, 34, 81.653)
      (50, 39, 57.478)
      (50, 51,  7.003)
      (50, 98, 60.583)
      (51,  8, 18.882)
      (51, 19, 38.764)
      (51, 49, 58.175)
      (52, 15, 64.415)
      (52, 28, 91.527)
      (52, 33, 79.030)
      (52, 56, 99.752)
      (52, 87, 59.376)
      (52, 149, 61.905)
      (53, 12, 87.123)
      (53, 18, 94.433)
      (53, 95, 56.582)
      (54, 33, 12.356)
      (54, 64,  2.991)
      (54, 91, 24.693)
      (54, 98, 94.937)
      (55, 124, 47.829)
      (56, 28, 32.589)
      (56, 87, 69.482)
      (56, 104, 69.678)
      (56, 125, 67.840)
      (56, 127, 17.833)
      (56, 132, 38.347)
      (57, 28, 84.312)
      (57, 82, 96.558)
      (58, 18,  4.598)
      (58, 56, 63.367)
      (58, 136, 95.358)
      (59, 111, 31.422)
      (59, 122, 85.023)
      (59, 125, 47.002)
      (59, 151, 57.111)
      (59, 152, 49.756)
      (60, 91,  1.658)
      (60, 148,  5.301)
      (61,  2, 21.202)
      (61, 17, 41.597)
      (61, 67, 63.246)
      (61, 98, 96.690)
      (61, 123, 92.702)
      (61, 124, 72.948)
      (61, 141, 65.743)
      (61, 147, 28.862)
      (62,  8, 75.640)
      (62, 114, 48.915)
      (62, 120, 37.767)
      (62, 124, 45.964)
      (63, 29, 46.021)
      (63, 79, 11.027)
      (63, 137, 35.631)
      (65, 78, 15.608)
      (66,  2, 20.015)
      (66, 23, 16.620)
      (66, 132, 35.964)
      (66, 140,  2.053)
      (67, 15, 73.000)
      (67, 35, 97.408)
      (67, 42, 89.772)
      (67, 91, 37.677)
      (67, 124,  1.825)
      (67, 152, 33.969)
      (68,  9, 84.000)
      (68, 65, 91.165)
      (68, 133, 36.992)
      (69,  0, 94.709)
      (69, 88, 66.748)
      (69, 114, 76.966)
      (69, 147, 50.390)
      (70, 111, 85.940)
      (70, 117, 65.668)
      (71, 23, 64.812)
      (71, 105, 13.287)
      (71, 138,  8.433)
      (72, 14, 83.535)
      (72, 97, 64.963)
      (73, 39, 10.859)
      (73, 87, 25.112)
      (74, 51, 62.868)
      (74, 128, 78.395)
      (74, 139, 35.735)
      (74, 150, 19.464)
      (75,  4, 56.734)
      (75, 32, 57.301)
      (75, 43, 32.130)
      (75, 95, 63.034)
      (75, 100, 18.186)
      (75, 151, 32.595)
      (76, 41, 55.358)
      (76, 84, 47.847)
      (76, 138, 11.160)
      (77, 41, 10.502)
      (77, 67, 29.917)
      (77, 128, 26.924)
      (77, 134, 15.495)
      (77, 141, 25.925)
      (77, 151,  1.052)
      (78, 22, 22.518)
      (79,  3, 89.946)
      (79, 123, 48.972)
      (79, 139, 14.574)
      (80, 29,  2.558)
      (80, 76, 43.848)
      (80, 116, 97.464)
      (81, 44,  0.423)
      (81, 116, 33.608)
      (82, 29, 57.600)
      (82, 104, 48.576)
      (82, 122, 74.057)
      (82, 128, 91.681)
      (82, 138,  0.450)
      (83, 41,  2.123)
      (83, 79, 83.470)
      (84, 24, 92.267)
      (84, 32, 31.869)
      (84, 77, 91.806)
      (84, 105, 93.316)
      (84, 117, 91.789)
      (84, 140, 38.816)
      (85, 19, 17.783)
      (85, 48, 47.784)
      (85, 53, 68.780)
      (85, 131, 50.868)
      (85, 143, 58.343)
      (86, 122, 32.935)
      (86, 154, 14.775)
      (87, 53, 92.046)
      (87, 69, 65.105)
      (87, 120, 29.605)
      (88, 57, 16.785)
      (88, 66, 36.788)
      (89, 98, 26.827)
      (90, 39, 26.765)
      (90, 62, 71.112)
      (90, 83, 81.056)
      (90, 104, 25.809)
      (91, 24, 39.071)
      (91, 90,  4.316)
      (91, 153, 24.860)
      (92, 13, 26.807)
      (92, 17, 44.131)
      (92, 107, 51.812)
      (92, 136, 30.847)
      (93, 68,  4.638)
      (93, 101, 75.482)
      (94, 44,  9.184)
      (94, 47, 94.373)
      (94, 129, 49.683)
      (94, 146, 24.581)
      (95,  7, 12.233)
      (95, 10, 79.910)
      (95, 17, 73.644)
      (95, 58, 84.772)
      (95, 71, 35.850)
      (95, 102, 94.816)
      (95, 106, 61.011)
      (95, 135, 29.078)
      (96, 26, 21.730)
      (96, 50, 26.194)
      (96, 86, 91.331)
      (96, 106, 12.739)
      (97, 22, 85.998)
      (97, 91, 42.172)
      (97, 121,  8.824)
      (97, 132, 46.546)
      (98, 12, 66.225)
      (98, 146,  3.296)
      (99,  1, 47.089)
      (99, 67, 85.709)
      (99, 69, 40.250)
      (99, 81, 28.574)
      (99, 112, 69.867)
      (99, 119, 10.258)
      (99, 137,  0.294)
      (100,  4,  5.144)
      (100, 12, 21.941)
      (100, 20, 33.469)
      (100, 35, 68.591)
      (100, 70, 61.345)
      (100, 78,  7.372)
      (100, 106, 59.259)
      (100, 135, 77.243)
      (101,  5,  8.134)
      (101, 18, 82.373)
      (101, 30, 88.567)
      (101, 54, 43.180)
      (101, 89, 22.479)
      (101, 100, 20.329)
      (101, 144, 59.588)
      (101, 145, 41.443)
      (102, 13, 77.183)
      (102, 17, 90.843)
      (102, 35, 70.885)
      (102, 81, 42.470)
      (102, 111, 68.217)
      (102, 122, 64.010)
      (102, 142,  4.269)
      (103, 39, 51.090)
      (104, 41,  6.310)
      (104, 144, 55.770)
      (104, 145, 64.783)
      (105, 17, 23.322)
      (105, 41,  1.652)
      (105, 50, 92.518)
      (105, 117, 23.108)
      (106, 84, 68.936)
      (107, 27, 45.445)
      (107, 32, 21.247)
      (107, 45,  0.105)
      (107, 68, 10.150)
      (107, 119, 33.617)
      (107, 141, 16.760)
      (108, 14, 46.113)
      (108, 30, 26.242)
      (108, 50, 29.373)
      (108, 61,  9.880)
      (108, 107, 76.067)
      (108, 154, 54.880)
      (109, 20, 84.576)
      (109, 49, 92.868)
      (109, 81, 75.557)
      (109, 143, 15.455)
      (110, 33, 10.272)
      (110, 38, 66.396)
      (110, 42, 59.065)
      (110, 47, 33.883)
      (110, 80,  7.804)
      (110, 123, 97.896)
      (110, 125, 30.780)
      (111, 10, 69.110)
      (111, 32,  7.717)
      (111, 35, 62.051)
      (111, 44,  8.062)
      (111, 106, 50.950)
      (111, 144,  2.223)
      (111, 150, 78.681)
      (112,  4, 72.504)
      (112, 63, 49.414)
      (112, 101, 80.415)
      (113,  6, 35.802)
      (113, 17, 64.625)
      (113, 43, 98.915)
      (113, 60, 92.896)
      (114,  3, 16.459)
      (114, 29, 12.555)
      (114, 36,  1.432)
      (114, 149, 62.447)
      (115,  6,  0.676)
      (115, 89, 11.320)
      (115, 108, 12.714)
      (116, 15, 47.672)
      (116, 20, 14.250)
      (116, 29, 31.562)
      (116, 47, 57.557)
      (116, 61, 55.881)
      (116, 85, 39.822)
      (116, 87, 25.937)
      (116, 88, 66.622)
      (116, 90, 10.953)
      (116, 129, 67.220)
      (117, 50, 71.391)
      (117, 149, 28.842)
      (118,  4, 93.654)
      (118, 47, 54.928)
      (118, 57, 92.764)
      (118, 67, 39.648)
      (118, 78, 16.231)
      (118, 133,  2.462)
      (119, 34, 21.392)
      (119, 38, 18.714)
      (119, 74, 25.967)
      (119, 124, 24.368)
      (119, 147, 76.144)
      (120, 118, 92.396)
      (121, 15, 92.615)
      (121, 43, 36.426)
      (121, 74, 82.525)
      (121, 78,  0.249)
      (121, 80, 16.091)
      (122, 32, 51.672)
      (122, 33, 64.930)
      (123, 14, 72.971)
      (123, 75, 22.054)
      (123, 91, 37.736)
      (123, 122, 21.131)
      (124, 22, 25.777)
      (124, 37, 17.842)
      (124, 44, 83.326)
      (124, 138, 16.256)
      (124, 144, 85.229)
      (124, 150, 13.016)
      (125, 22, 64.426)
      (125, 53,  5.926)
      (125, 73, 69.809)
      (125, 98, 84.700)
      (126, 45, 18.388)
      (126, 56, 15.847)
      (126, 66,  9.420)
      (126, 97, 78.737)
      (127, 20, 22.294)
      (127, 36, 36.517)
      (127, 81, 79.339)
      (128, 16, 69.741)
      (128, 56, 67.783)
      (128, 63, 22.939)
      (128, 97, 57.518)
      (128, 152, 17.438)
      (129, 13, 38.144)
      (129, 28,  1.577)
      (129, 48, 20.987)
      (129, 51, 98.566)
      (129, 58, 60.028)
      (129, 97, 98.653)
      (129, 121, 55.445)
      (129, 148, 71.828)
      (130, 38, 98.612)
      (130, 68, 64.145)
      (130, 70, 28.938)
      (130, 72, 28.777)
      (130, 127, 87.700)
      (130, 145, 62.007)
      (131, 14, 25.210)
